postcode,mean_ptal
BR1 3AF,10.3366
BR1 3AG,10.3366
BR1 3AH,10.3366
BR1 3AJ,4.81849
BR1 3AL,4.81849
BR1 3AN,4.81849
BR1 3AP,4.81849
BR1 3AQ,10.3366
BR1 3AR,4.81849
BR1 3AS,4.81849
BR1 3AT,4.81849
BR1 3AU,4.81849
BR1 3AW,10.3366
BR1 3AX,4.81849
BR1 3AY,4.81849
BR1 3AZ,4.81849
BR1 3BA,4.81849
BR1 3BB,4.81849
BR1 3BD,24.4005
BR1 3BE,4.81849
BR1 3BF,24.4005
BR1 3BG,24.4005
BR1 3BH,4.81849
BR1 3BJ,24.4005
BR1 3BL,4.81849
BR1 3BN,4.81849
BR1 3BP,2.93262
BR1 3BQ,28.5572
BR1 3BS,2.93262
BR1 3BT,2.93262
BR1 3BU,2.93262
BR1 3BW,2.93262
BR1 3BX,4.81849
BR1 3BY,2.93262
BR1 3BZ,2.93262
BR1 3DA,24.4005
BR1 3DB,24.4005
BR1 3DD,24.4005
BR1 3DE,24.4005
BR1 3DF,24.4005
BR1 3DG,10.4015
BR1 3DH,4.81849
BR1 3DJ,24.4005
BR1 3DL,10.4015
BR1 3DN,10.4015
BR1 3DP,24.4005
BR1 3DQ,10.4015
BR1 3DR,24.4005
BR1 3DS,24.4005
BR1 3DT,24.4005
BR1 3DU,24.4005
BR1 3DW,10.4015
BR1 3DX,24.4005
BR1 3DY,2.93262
BR1 3DZ,4.81849
BR1 3EA,24.4005
BR1 3EB,28.5572
BR1 3ED,10.3366
BR1 3EE,24.4005
BR1 3EF,24.4005
BR1 3EG,24.4005
BR1 3EH,9.76816
BR1 3EJ,10.4015
BR1 3EL,10.4015
BR1 3EN,24.4005
BR1 3EP,10.4015
BR1 3EQ,28.5572
BR1 3ER,10.4015
BR1 3ES,2.93262
BR1 3ET,2.93262
BR1 3EU,10.4015
BR1 3EW,24.4005
BR1 3EX,10.4015
BR1 3EY,28.5572
BR1 3EZ,24.4005
BR1 3FB,4.81849
BR1 3FE,24.4005
BR1 3FF,10.3366
BR1 3FG,4.81849
BR1 3FH,4.79018
BR1 3FJ,2.37689
BR1 3FL,2.37689
BR1 3FN,28.5572
BR1 3FS,4.79018
BR1 3FZ,2.37689
BR1 3GA,28.5572
BR1 3GB,28.5572
BR1 3GD,28.5572
BR1 3GE,28.5572
BR1 3GJ,28.5572
BR1 3GL,28.5572
BR1 3GN,10.3366
BR1 3GP,28.5572
BR1 3GQ,28.5572
BR1 3GR,28.5572
BR1 3GS,28.5572
BR1 3GT,24.4005
BR1 3GU,28.5572
BR1 3GW,28.5572
BR1 3GX,24.4005
BR1 3GY,28.5572
BR1 3GZ,28.5572
BR1 3HA,24.4005
BR1 3HB,28.5572
BR1 3HD,28.5572
BR1 3HE,28.5572
BR1 3HF,28.5572
BR1 3HG,28.5572
BR1 3HH,4.79018
BR1 3HJ,10.3366
BR1 3HL,10.3366
BR1 3HN,10.3366
BR1 3HP,10.3366
BR1 3HQ,28.5572
BR1 3HR,9.76816
BR1 3HS,10.3366
BR1 3HT,10.3366
BR1 3HU,10.3366
BR1 3HW,10.3366
BR1 3HX,10.3366
BR1 3HY,10.3366
BR1 3HZ,10.3366
BR1 3JA,10.3366
BR1 3JB,10.3366
BR1 3JD,9.76816
BR1 3JE,4.79018
BR1 3JF,4.79018
BR1 3JG,9.76816
BR1 3JH,28.5572
BR1 3JJ,9.76816
BR1 3JL,9.76816
BR1 3JN,28.5572
BR1 3JP,9.76816
BR1 3JQ,4.79018
BR1 3JR,9.76816
BR1 3JS,9.76816
BR1 3JT,10.3366
BR1 3JU,9.76816
BR1 3JW,4.79018
BR1 3JX,10.3366
BR1 3JY,9.76816
BR1 3JZ,10.3366
BR1 3LA,10.3366
BR1 3LB,9.76816
BR1 3LD,9.76816
BR1 3LE,10.3366
BR1 3LF,10.3366
BR1 3LG,9.76816
BR1 3LH,9.76816
BR1 3LJ,10.3366
BR1 3LL,4.79018
BR1 3LN,15.9188
BR1 3LP,28.5572
BR1 3LQ,9.76816
BR1 3LR,9.76816
BR1 3LS,9.76816
BR1 3LT,9.76816
BR1 3LU,4.79018
BR1 3LW,15.9188
BR1 3LX,4.79018
BR1 3LY,4.79018
BR1 3LZ,9.76816
BR1 3NA,4.79018
BR1 3NB,4.79018
BR1 3ND,4.79018
BR1 3NE,4.79018
BR1 3NF,28.5572
BR1 3NG,4.79018
BR1 3NH,28.5572
BR1 3NJ,28.5572
BR1 3NL,9.76816
BR1 3NN,28.5572
BR1 3NP,4.79018
BR1 3NQ,4.79018
BR1 3NR,28.5572
BR1 3NS,28.5572
BR1 3NT,28.5572
BR1 3NU,28.5572
BR1 3NW,24.4005
BR1 3NX,28.5572
BR1 3NY,10.3366
BR1 3NZ,28.5572
BR1 3PA,4.79018
BR1 3PB,9.76816
BR1 3PD,10.3366
BR1 3PE,15.9188
BR1 3PF,15.9188
BR1 3PG,9.76816
BR1 3PH,15.9188
BR1 3PJ,15.9188
BR1 3PL,15.9188
BR1 3PN,9.76816
BR1 3PP,24.4005
BR1 3PQ,9.76816
BR1 3PR,28.5572
BR1 3PS,28.5572
BR1 3PT,28.5572
BR1 3PU,15.9188
BR1 3PW,9.76816
BR1 3PX,28.5572
BR1 3PY,28.5572
BR1 3PZ,28.5572
BR1 3QA,28.5572
BR1 3QB,15.9188
BR1 3QD,15.9188
BR1 3QE,8.20768
BR1 3QF,8.20768
BR1 3QG,15.9188
BR1 3QH,28.5572
BR1 3QJ,15.9188
BR1 3QL,28.5572
BR1 3QN,8.20768
BR1 3QP,8.20768
BR1 3QQ,8.20768
BR1 3QR,28.5572
BR1 3QS,28.5572
BR1 3QT,28.5572
BR1 3QU,28.5572
BR1 3QW,8.20768
BR1 3QX,15.9188
BR1 3QY,28.5572
BR1 3QZ,15.9188
BR1 3RA,15.9188
BR1 3RB,15.9188
BR1 3RD,15.9188
BR1 3RE,15.9188
BR1 3RF,15.9188
BR1 3RG,8.20768
BR1 3RH,15.9188
BR1 3RJ,15.9188
BR1 3RL,8.20768
BR1 3RN,8.20768
BR1 3RP,8.20768
BR1 3RQ,8.20768
BR1 3RR,8.20768
BR1 3RS,10.5695
BR1 3RT,28.5572
BR1 3RU,28.5572
BR1 3RW,8.20768
BR1 3RX,10.5695
BR1 3RY,10.5695
BR1 3RZ,10.5695
BR1 3SA,10.5695
BR1 3SB,10.5695
BR1 3SD,10.5695
BR1 3SE,10.5695
BR1 3SF,10.5695
BR1 3SG,10.5695
BR1 3SH,10.5695
BR1 3SJ,3.9783
BR1 3SL,3.9783
BR1 3SN,10.5695
BR1 3SP,3.9783
BR1 3SQ,10.5695
BR1 3SR,3.9783
BR1 3SS,3.9783
BR1 3ST,10.5695
BR1 3SU,3.9783
BR1 3SW,3.9783
BR1 3SX,10.5695
BR1 3SY,10.5695
BR1 3SZ,10.5695
BR1 3TA,15.9188
BR1 3TB,9.76816
