year,borough_outbound,area_bin,average_price,average_area,property_count
2015,18_HA6,Q1,237347.9,47.13,48
2015,18_HA6,Q2,386951.35,69.22,37
2015,18_HA6,Q3,496257.59,89.92,66
2015,18_HA6,Q4a,641630.51,122.17,61
2015,18_HA6,Q4b,1094213.56,212.65,52
2015,18_TW19,Q1,,,0
2015,18_TW19,Q2,,,0
2015,18_TW19,Q3,,,0
2015,18_TW19,Q4a,,,0
2015,18_TW19,Q4b,,,0
2015,18_UB10,Q1,249650.46,49.17,94
2015,18_UB10,Q2,335672.25,68.56,154
2015,18_UB10,Q3,435994.84,88.74,184
2015,18_UB10,Q4a,580985.92,123.25,125
2015,18_UB10,Q4b,766332.5,190.43,40
2015,18_UB3,Q1,206962.0,44.45,125
2015,18_UB3,Q2,300987.86,69.05,103
2015,18_UB3,Q3,342514.89,88.32,131
2015,18_UB3,Q4a,369853.23,117.86,31
2015,18_UB3,Q4b,430000.0,165.0,2
2015,18_UB4,Q1,208068.02,46.74,91
2015,18_UB4,Q2,295707.84,67.4,102
2015,18_UB4,Q3,334209.6,87.04,99
2015,18_UB4,Q4a,412102.63,122.0,38
2015,18_UB4,Q4b,406666.67,185.67,3
2015,18_UB5,Q1,235596.67,42.42,15
2015,18_UB5,Q2,276000.0,64.45,1
2015,18_UB5,Q3,445000.0,82.83,1
2015,18_UB5,Q4a,409000.0,127.14,2
2015,18_UB5,Q4b,,,0
2015,18_UB7,Q1,214285.86,45.35,105
2015,18_UB7,Q2,295779.75,69.34,151
2015,18_UB7,Q3,349209.12,90.0,114
2015,18_UB7,Q4a,436117.14,123.59,50
2015,18_UB7,Q4b,475000.0,159.28,6
2015,18_UB8,Q1,221374.98,45.74,89
2015,18_UB8,Q2,311219.11,68.24,123
2015,18_UB8,Q3,369252.44,88.6,112
2015,18_UB8,Q4a,470817.92,119.54,53
2015,18_UB8,Q4b,664666.67,190.56,9
2015,18_UB9,Q1,247980.43,48.54,23
2015,18_UB9,Q2,309484.38,67.73,48
2015,18_UB9,Q3,367428.38,89.74,37
2015,18_UB9,Q4a,481078.57,120.2,21
2015,18_UB9,Q4b,798125.0,182.25,8
2015,18_WD3,Q1,,,0
2015,18_WD3,Q2,287500.0,67.0,3
2015,18_WD3,Q3,,,0
2015,18_WD3,Q4a,530000.0,113.0,1
2015,18_WD3,Q4b,,,0
2015,19_TW1,Q1,285407.82,48.52,22
2015,19_TW1,Q2,,,0
2015,19_TW1,Q3,,,0
2015,19_TW1,Q4a,,,0
2015,19_TW1,Q4b,,,0
2015,19_TW13,Q1,205132.78,47.77,160
2015,19_TW13,Q2,276882.3,68.32,163
2015,19_TW13,Q3,328702.45,88.64,113
2015,19_TW13,Q4a,393973.81,115.02,21
2015,19_TW13,Q4b,499000.0,165.0,3
2015,19_TW14,Q1,212653.42,49.66,76
2015,19_TW14,Q2,281498.84,67.84,86
2015,19_TW14,Q3,316466.28,88.07,86
2015,19_TW14,Q4a,371210.53,118.28,19
2015,19_TW14,Q4b,445250.0,174.5,4
2015,19_TW15,Q1,,,0
2015,19_TW15,Q2,,,0
2015,19_TW15,Q3,,,0
2015,19_TW15,Q4a,,,0
2015,19_TW15,Q4b,,,0
2015,19_TW3,Q1,221934.57,48.29,81
2015,19_TW3,Q2,289399.92,68.22,66
2015,19_TW3,Q3,385718.28,90.8,93
2015,19_TW3,Q4a,473493.02,118.64,43
2015,19_TW3,Q4b,605416.67,175.5,6
2015,19_TW4,Q1,223451.52,46.94,33
2015,19_TW4,Q2,244796.88,68.77,32
2015,19_TW4,Q3,344182.2,88.82,45
2015,19_TW4,Q4a,375543.18,114.5,22
2015,19_TW4,Q4b,531666.67,174.33,3
2015,19_TW5,Q1,200738.89,49.16,27
2015,19_TW5,Q2,268639.34,71.55,61
2015,19_TW5,Q3,360174.26,89.77,68
2015,19_TW5,Q4a,437250.0,117.39,48
2015,19_TW5,Q4b,713000.0,170.0,5
2015,19_TW7,Q1,270688.68,48.81,102
2015,19_TW7,Q2,354591.7,69.0,147
2015,19_TW7,Q3,469540.21,88.34,140
2015,19_TW7,Q4a,551605.88,122.53,68
2015,19_TW7,Q4b,756200.0,174.79,20
2015,19_TW8,Q1,323941.36,49.49,230
2015,19_TW8,Q2,447078.4,70.55,166
2015,19_TW8,Q3,586498.08,87.26,199
2015,19_TW8,Q4a,734488.33,119.92,69
2015,19_TW8,Q4b,1746094.44,217.0,18
2015,19_UB2,Q1,179970.83,43.93,12
2015,19_UB2,Q2,239500.0,68.41,10
2015,19_UB2,Q3,295053.33,83.72,15
2015,19_UB2,Q4a,434975.0,125.5,2
2015,19_UB2,Q4b,580000.0,177.0,1
2015,19_W3,Q1,406666.67,56.13,3
2015,19_W3,Q2,,,0
2015,19_W3,Q3,682336.0,95.35,5
2015,19_W3,Q4a,792365.0,119.44,5
2015,19_W3,Q4b,,,0
2015,19_W4,Q1,432277.45,47.59,104
2015,19_W4,Q2,574354.35,68.8,79
2015,19_W4,Q3,791200.05,89.15,63
2015,19_W4,Q4a,1160353.91,126.9,85
2015,19_W4,Q4b,2002926.39,200.23,84
2015,19_W5,Q1,,,0
2015,19_W5,Q2,381000.0,61.0,2
2015,19_W5,Q3,,,0
2015,19_W5,Q4a,831833.33,131.0,3
2015,19_W5,Q4b,,,0
2015,19_W6,Q1,500000.0,51.5,1
2015,19_W6,Q2,555000.0,60.58,1
2015,19_W6,Q3,750000.0,91.0,1
2015,19_W6,Q4a,1300000.0,126.0,1
2015,19_W6,Q4b,2466666.67,222.2,3
2015,1_IG11,Q1,172580.51,46.88,216
2015,1_IG11,Q2,209904.38,67.95,168
2015,1_IG11,Q3,297400.06,89.36,174
2015,1_IG11,Q4a,361803.46,121.68,78
2015,1_IG11,Q4b,506250.0,205.38,8
2015,1_RM10,Q1,160956.25,49.12,102
2015,1_RM10,Q2,234582.84,68.6,167
2015,1_RM10,Q3,266728.41,87.04,113
2015,1_RM10,Q4a,306903.85,120.62,26
2015,1_RM10,Q4b,455000.0,214.95,1
2015,1_RM5,Q1,,,0
2015,1_RM5,Q2,,,0
2015,1_RM5,Q3,350000.0,80.84,1
2015,1_RM5,Q4a,,,0
2015,1_RM5,Q4b,,,0
2015,1_RM6,Q1,173178.57,51.7,28
2015,1_RM6,Q2,231022.0,67.3,45
2015,1_RM6,Q3,285064.09,88.5,66
